First Seen,Distribution URL Observed
2018-04-29 08:27:15,http://vetervlmi[.]ru/test/MainModule1.dll
2018-03-24 13:58:32,http://ru-shop[.]su/SquirtDanger.dll
2018-04-09 13:41:45,http://xmr[.]all-cheat[.]org/DJinglw.dll
2018-04-10 07:34:44,http://kirillrotkov1[.]had[.]su/MainModule.dll
2018-04-19 12:50:37,http://vetervlmi[.]ru/test/MainModule.dll
2018-04-12 12:25:31,http://teamkoma[.]had[.]su/DJinglw.dll
2018-04-17 14:25:05,http://djinglw[.]had[.]su/DJinglw.dll
2018-04-17 06:53:19,http://inerino[.]ru/Bubba/files/Updata.dll
2018-04-07 19:56:00,http://controlyandec[.]had[.]su/DJinglw.dll
2018-04-18 12:26:36,http://cn61019-wordpress[.]tw1[.]ru/DJinglw.dll
2018-05-03 04:18:04,http://cw17598-wordpress[.]tw1[.]ru/DJinglw.dll
2018-04-19 07:56:47,http://domenfireyes[.]com/dcheck.dll
2018-04-05 08:35:06,http://1q2w3e4r[.]ucoz[.]net/DJinglw.dll
2018-04-19 07:56:47,http://domenfireyes[.]com/dsetup32.dll
2018-02-15 08:12:13,http://lehrerin[.]in[.]ua/MainModule.dll